step,hour_of_day,source_flow_Ls,leak_active,leak_node,pressure_15,pressure_35,pressure_101,pressure_105,pressure_113,pressure_201
233,10.25,487.9589,0,,39.71843,43.12155,41.644558,42.024944,48.322002,44.944386
234,10.5,488.26004,0,,39.699493,43.11254,41.632225,42.010254,48.308533,44.93852
235,10.75,488.5578,0,,39.68071,43.10279,41.619793,41.99549,48.29479,44.93187
236,11.0,489.9987,0,,35.948673,43.03936,41.31292,41.74586,48.118057,44.834255
237,11.25,490.4507,0,,35.91854,43.01405,41.290836,41.72024,48.091724,44.81128
238,11.5,490.89886,0,,35.888653,42.98865,41.26885,41.694736,48.065453,44.788074
239,11.75,491.34332,0,,35.858997,42.96319,41.246952,41.669357,48.039234,44.764668
240,12.0,491.5755,0,,35.859974,42.96499,41.30229,41.703114,48.058475,44.8218
241,12.25,491.979,0,,35.833122,42.94459,41.283237,41.6809,48.03609,44.803818
242,12.5,492.37888,0,,35.806507,42.923946,41.264225,41.658752,48.01367,44.785473
243,12.75,492.77505,0,,35.780117,42.903088,41.24526,41.636684,47.991245,44.766785
244,13.0,492.80237,0,,35.82267,42.92663,41.418316,41.75794,48.066875,44.810936
245,13.25,493.11334,0,,35.802345,42.92032,41.40641,41.74365,48.054382,44.806076
246,13.5,493.42233,0,,35.782124,42.9124,41.394104,41.72897,48.041134,44.79981
247,13.75,493.7288,0,,35.762035,42.903217,41.38152,41.71403,48.027325,44.792416
248,14.0,493.63306,0,,35.834305,42.93592,41.652508,41.910667,48.148647,44.897343
249,14.25,493.8407,0,,35.821598,42.94409,41.64816,41.90493,48.14643,44.906837
250,14.5,494.04208,0,,35.809288,42.95123,41.643723,41.899143,48.143887,44.915382
251,14.75,494.23746,0,,35.797363,42.95733,41.639187,41.8933,48.14101,44.922977
252,15.0,502.33798,0,,35.30467,42.223392,33.151546,37.36466,45.48941,44.310143
253,15.25,503.2056,0,,35.244938,42.16007,33.089466,37.302914,45.426796,44.25558
254,15.5,504.0707,0,,35.185287,42.096676,33.027355,37.24115,45.364143,44.20011
255,15.75,504.93365,0,,35.125717,42.03317,32.965168,37.17931,45.301395,44.14366
256,16.0,504.02814,0,,38.613426,42.086052,33.0693,37.28302,45.379234,44.184906
257,16.25,504.7676,0,,38.56273,42.031693,33.01613,37.23015,45.325626,44.138218
258,16.5,505.50385,0,,38.511974,41.977448,32.963078,37.1774,45.27214,44.0909
259,16.75,506.23767,0,,38.461327,41.92324,32.910072,37.12471,45.218704,44.042885
260,17.0,506.56403,0,,38.44841,41.910027,32.94817,37.159725,45.231663,44.032673
261,17.25,507.25723,0,,38.40054,41.859936,32.899006,37.11079,45.18222,43.989223
262,17.5,507.9475,0,,38.352814,41.80996,32.849953,37.061966,45.13289,43.9452
263,17.75,508.63504,0,,38.305225,41.760044,32.800976,37.01323,45.083626,43.90056
264,18.0,508.65167,0,,38.330868,41.80218,32.941093,37.147003,45.18543,43.960552
265,18.25,509.25903,0,,38.288925,41.76172,32.900845,37.106766,45.145172,43.92817
266,18.5,509.86295,0,,38.247177,41.721317,32.86065,37.06659,45.104958,43.895023
267,18.75,510.46353,0,,38.20563,41.681004,32.820538,37.0265,45.06483,43.861225
268,19.0,510.99902,0,,38.165527,41.63576,32.778217,36.984528,45.02219,43.833668
269,19.25,511.59143,0,,38.124466,41.59555,32.738274,36.944633,44.982204,43.798866
270,19.5,512.18036,0,,38.0836,41.55544,32.69844,36.904842,44.94233,43.763584
271,19.75,512.7663,0,,38.042904,41.515385,32.658665,36.865128,44.902508,43.727764
272,20.0,514.7944,0,,37.856472,41.31769,32.247963,36.468307,44.58846,43.536293
273,20.25,831.22485,0,,38.716785,41.666862,32.768257,37.026905,45.059288,43.83991
274,20.5,830.887,0,,38.764847,41.69588,32.80151,37.061172,45.09154,43.85921
275,20.75,830.54865,0,,38.81306,41.726032,32.835705,37.096325,45.124817,43.880764
276,21.0,830.54315,0,,38.794735,41.692593,32.67317,36.942795,45.02051,43.805496
277,21.25,830.2607,0,,38.834316,41.706554,32.692837,36.96383,45.03836,43.811485
278,21.5,829.9757,0,,38.87439,41.722656,32.714264,36.986523,45.058113,43.820175
279,21.75,829.6888,0,,38.914845,41.74066,32.737244,37.01069,45.079548,43.831257
280,22.0,831.01056,0,,35.06941,41.54403,32.160366,36.459587,44.70025,43.536823
281,22.25,830.87286,0,,35.09074,41.523853,32.14864,36.449806,44.685253,43.508736
282,22.5,830.7359,0,,35.11172,41.50481,32.137756,36.44081,44.67122,43.48235
283,22.75,830.60016,0,,35.132347,41.48689,32.127697,36.432583,44.658134,43.45762
284,23.0,831.85876,0,,34.70667,41.051533,31.020018,35.403957,43.923714,42.92458
285,23.25,831.824,0,,34.71005,41.01115,30.990812,35.37676,43.890472,42.872887
